epoch,metric_condition_avg,metric_condition_max,metric_det_std
0,1.1692358255386353,1.2850992679595947,3.0931687433621846e-07
1000,1.1804633140563965,1.2817777395248413,2.9235491183499107e-07
2000,1.190791368484497,1.2763097286224365,2.9352031560847536e-07
3000,1.1897741556167603,1.27094304561615,2.9916472499280644e-07
4000,1.1883525848388672,1.2686891555786133,2.848663314125588e-07
5000,1.1845080852508545,1.26210355758667,2.9615083008138754e-07
6000,1.181933879852295,1.2587767839431763,2.905578639911255e-07
7000,1.1805132627487183,1.2565771341323853,2.856238836557168e-07
8000,1.1801332235336304,1.255515456199646,2.924961108874413e-07
9000,1.179856300354004,1.2553259134292603,2.855940692825243e-07
9999,1.1797969341278076,1.2553191184997559,2.922106148162129e-07
