Rank,Observable,Formula,Predicted,Experimental,Uncertainty,Deviation_%,Sigma,Status,Zetas_Used,Priority
1,m_d,ζ(13) × ζ(15) × δ_F,4.66983050,4.67000000,0.48000000,0.003600,0.00,NEW - Quark mass,"ζ(13), ζ(15)",CRITICAL
2,m_d,ζ(13) × δ_F,4.66977320,4.67000000,0.48000000,0.004900,0.00,NEW - Quark mass,ζ(13),CRITICAL
3,n_s,ζ(11)/ζ(5),0.96486393,0.96480000,0.00420000,0.006600,0.02,VALIDATED - Spectral index,"ζ(11), ζ(5)",CRITICAL
4,alpha_s,√2/12,0.11785113,0.11790000,0.00010000,0.040000,0.49,KNOWN - Strong coupling,none,HIGH
5,H_0,H₀^CMB × (ζ(3)/ξ)^β₀,72.93000000,73.04000000,1.04000000,0.150000,0.10,CONFIRMED - Hubble,ζ(3),HIGH
6,g_Y,√(Weyl/39),0.35805700,0.35700000,0.00200000,0.300000,0.53,NEW - Hypercharge,none,HIGH
7,Omega_DM,ζ(7)/τ,0.25876700,0.26000000,0.01200000,0.470000,0.10,VALIDATED - Dark matter,ζ(7),HIGH
8,Omega_b,ζ(7)/b₂,0.04801700,0.04860000,0.00100000,1.200000,0.58,NEW - Baryon density,ζ(7),MEDIUM
9,sigma_8,4/Weyl,0.80000000,0.81100000,0.00600000,1.360000,1.83,MARGINAL - Matter fluct,none,MEDIUM
10,Omega_b,ζ(5)/b₂,0.04937800,0.04860000,0.00100000,1.600000,0.78,ALTERNATIVE - Baryon,ζ(5),MEDIUM
11,Omega_b,ζ(9)/b₂,0.04771500,0.04860000,0.00100000,1.820000,0.89,ALTERNATIVE - Baryon,ζ(9),MEDIUM
12,g_2,ζ(5)/φ,0.64085700,0.65300000,0.00300000,1.860000,4.05,MARGINAL - SU(2),ζ(5),MEDIUM
13,sin_theta_C,√(ζ(7)/b₂),0.21912700,0.22540000,0.00100000,2.780000,7.64,MARGINAL - Cabibbo,ζ(7),LOW
