manifold,H_star,source,gift_pred,lambda1_mean,lambda1_std,lambda1H_mean,lambda1H_std,sigma
Small_H,36,Synthetic,0.3888888888888889,0.1717265009977136,0.03753480193435902,6.18215403591769,1.3512528696369244,2.284440106226525
Joyce_5,52,Joyce,0.2692307692307692,0.17210707034200004,0.03787303357484302,8.949567657784002,1.9693977458918368,2.407654592897381
Joyce_3,55,Joyce,0.2545454545454545,0.1718072984302617,0.037880791299316686,9.449401413664393,2.0834435214624167,2.4270240999280914
Joyce_2,56,Joyce,0.25,0.17183358522047332,0.03779067858992014,9.622680772346506,2.116278001035528,2.4332794826775763
Joyce_6,56,Joyce,0.25,0.1715065962146108,0.037284821670769186,9.604369388018204,2.087950013563075,2.4332794826775763
Joyce_1,56,Joyce,0.25,0.17162789598841888,0.03741246969474484,9.611162175351456,2.0950983029057113,2.4332794826775763
Kovalev_1,72,Kovalev,0.19444444444444445,0.17186932980715824,0.03735150128000928,12.374591746115394,2.6893080921606676,2.522226365900596
Kovalev_3,82,Kovalev,0.17073170731707318,0.1718019472307917,0.03776444559438625,14.08775967292492,3.0966845387396718,2.569524875164409
Kovalev_2,96,Kovalev,0.14583333333333334,0.17210533336772996,0.03788611350660459,16.522112003302077,3.637066896634042,2.628042911167894
K7_GIFT,99,GIFT,0.1414141414141414,0.17189358148158115,0.03762726156481313,17.017464566676534,3.725098894916499,2.63962108956578
Synth_99_c,99,Synthetic,0.1414141414141414,0.17167586210885086,0.037467923519480105,16.995910348776235,3.709324428428532,2.63962108956578
Synth_99_a,99,Synthetic,0.1414141414141414,0.17199420440364108,0.03759942828635237,17.027426235960466,3.7223434003488847,2.63962108956578
Synth_99_b,99,Synthetic,0.1414141414141414,0.17205588167786962,0.037546797217457926,17.033532286109093,3.7171329245283324,2.63962108956578
Joyce_4,104,Joyce,0.1346153846153846,0.17195750998084136,0.03803652770504346,17.8835810380075,3.9557988813245197,2.6582661885665897
Large_H,191,Synthetic,0.07329842931937172,0.17215740239582095,0.03814518016188173,32.8820638576018,7.285729410919414,2.899430860513405
