observable,category,best_ratio,predicted_value,experimental_value,deviation_pct,scaling_factor,formula,confidence_score
n_s,cosmology,ζ(11)/ζ(5),0.964864,0.964900,0.003738,1,ζ(11)/ζ(5),100.000000
Ω_DM,cosmology,ζ(3)/ζ(9),0.119965,0.120000,0.029372,1/10,ζ(3)/ζ(9) / 10,95.000000
m_d/m_u,quark_ratio,ζ(9)/ζ(5),2.160767,2.162000,0.057048,√5,√5 × ζ(9)/ζ(5),95.000000
Ω_DE,cosmology,ζ(9)/ζ(5),0.683294,0.684700,0.205287,1/√2,ζ(9)/ζ(5) / √2,85.000000
θ₁₂_rad,neutrino,ζ(7)/ζ(21),0.582162,0.583638,0.252943,1/√3,ζ(7)/ζ(21) / √3,85.000000
Q_Koide,lepton,ζ(21)/ζ(5),0.668473,0.666700,0.265874,ln(2),ln(2) × ζ(21)/ζ(5),85.000000
sin²θ_W,gauge,ζ(3)/ζ(5),0.231850,0.231220,0.272335,1/5,ζ(3)/ζ(5) / 5,85.000000
δ_CP_rad,neutrino,ζ(5)/ζ(3),3.450511,3.438299,0.355198,4,4 × ζ(5)/ζ(3),85.000000
θ₂₃,neutrino,ζ(5)/ζ(3),49.424935,49.200000,0.457184,180/π,180/π × ζ(5)/ζ(3),85.000000
θ₂₃_rad,neutrino,ζ(5)/ζ(3),0.862628,0.858702,0.457184,1,ζ(5)/ζ(3),85.000000
θ₁₃,neutrino,ζ(5)/ζ(3),8.626278,8.570000,0.656691,10,10 × ζ(5)/ζ(3),75.000000
m_b/m_c,quark_ratio,ζ(3)/ζ(21),3.267480,3.290000,0.684514,e,e × ζ(3)/ζ(21),75.000000
D_H,fractal,ζ(3)/ζ(21),0.849970,0.856220,0.730000,1/√2,ζ(3)/ζ(21) / √2,75.000000
α_s,gauge,ζ(21)/ζ(3),0.118846,0.117900,0.802143,1/7,ζ(21)/ζ(3) / 7,75.000000
θ₁₃_rad,neutrino,ζ(5)/ζ(21),0.148130,0.149575,0.965701,1/7,ζ(5)/ζ(21) / 7,75.000000
θ_C_rad,ckm,ζ(3)/ζ(5),0.231850,0.227591,1.871233,1/5,ζ(3)/ζ(5) / 5,60.000000
